residuo_h1,fold,indice
0.2576,0,0
0.1558,0,1
0.137,0,2
0.0989,0,3
0.1357,0,4
0.0386,0,5
0.1963,0,6
0.0426,0,7
0.0992,0,8
0.2228,0,9
0.0828,0,10
0.0138,0,11
0.0563,0,12
-0.1855,0,13
0.0237,0,14
-0.0339,0,15
0.0272,0,16
-0.5142,0,17
0.1922,0,18
-0.0641,0,19
-0.0185,0,20
0.0065,0,21
0.1855,0,22
0.0874,0,23
0.267,0,24
0.0163,0,25
0.1578,0,26
0.2169,0,27
0.0564,0,28
0.1166,0,29
0.0439,0,30
0.1412,0,31
0.1993,0,32
0.2817,0,33
0.0315,0,34
0.021,0,35
0.0288,0,36
0.1404,0,37
-0.0843,0,38
-0.4424,0,39
-0.1081,0,40
0.1122,0,41
-0.1615,0,42
-0.1131,0,43
-0.0462,0,44
-0.1232,0,45
-0.1134,0,46
-0.1222,0,47
-0.0851,0,48
-0.0855,0,49
0.2403,0,50
-0.005,0,51
-0.1053,0,52
-0.0072,0,53
-0.0127,0,54
-0.0593,0,55
-0.034,0,56
-0.0287,0,57
0.2728,1,0
0.0611,1,1
0.2073,1,2
0.0584,1,3
0.1469,1,4
0.0606,1,5
0.1944,1,6
0.0484,1,7
0.0834,1,8
0.1554,1,9
0.0356,1,10
-0.03,1,11
0.0612,1,12
0.1392,1,13
0.0146,1,14
-0.0337,1,15
-0.0044,1,16
-0.4825,1,17
0.1135,1,18
-0.0338,1,19
-0.0936,1,20
-0.0661,1,21
0.0987,1,22
0.0789,1,23
0.169,1,24
-0.0521,1,25
0.2069,1,26
0.1654,1,27
0.0804,1,28
0.1248,1,29
0.0535,1,30
0.1568,1,31
-0.0765,1,32
0.2991,1,33
0.0401,1,34
-0.0076,1,35
0.0073,1,36
0.11,1,37
-0.0623,1,38
-0.5262,1,39
-0.0938,1,40
0.1043,1,41
-0.1235,1,42
-0.1141,1,43
-0.0496,1,44
-0.1013,1,45
-0.0902,1,46
-0.1262,1,47
-0.1203,1,48
-0.0681,1,49
0.1949,1,50
0.0519,1,51
-0.0852,1,52
-0.0225,1,53
0.0172,1,54
-0.1059,1,55
-0.0359,1,56
-0.0187,1,57
0.2102,2,0
0.1069,2,1
-0.0769,2,2
0.0968,2,3
0.1889,2,4
0.0362,2,5
0.5236,2,6
0.0887,2,7
0.0945,2,8
0.3076,2,9
0.1786,2,10
0.4266,2,11
0.1466,2,12
0.1673,2,13
0.0007,2,14
-0.1757,2,15
0.0251,2,16
-0.1549,2,17
0.1621,2,18
-0.0906,2,19
0.1032,2,20
-0.0954,2,21
0.1291,2,22
0.0684,2,23
0.2797,2,24
0.0343,2,25
0.2594,2,26
0.27,2,27
0.1216,2,28
0.2057,2,29
0.0821,2,30
0.2192,2,31
-0.1206,2,32
0.3624,2,33
-0.0038,2,34
0.0318,2,35
0.0795,2,36
0.0939,2,37
-0.0757,2,38
-0.125,2,39
-0.1474,2,40
0.1242,2,41
-0.0864,2,42
-0.0961,2,43
-0.0287,2,44
-0.117,2,45
-0.1508,2,46
-0.1461,2,47
-0.0006,2,48
-0.102,2,49
0.2701,2,50
0.0592,2,51
-0.0619,2,52
-0.0656,2,53
0.0269,2,54
-0.0404,2,55
-0.0483,2,56
-0.0121,2,57
0.0516,3,0
0.262,3,1
-0.0212,3,2
-0.0577,3,3
-0.0377,3,4
-0.0503,3,5
-0.0399,3,6
0.0339,3,7
0.0082,3,8
0.0676,3,9
-0.0485,3,10
-0.0543,3,11
-0.0182,3,12
-0.0468,3,13
0.0783,3,14
-0.2698,3,15
-0.0258,3,16
-0.2017,3,17
0.0212,3,18
-0.13,3,19
-0.057,3,20
0.1284,3,21
-0.1125,3,22
0.0078,3,23
0.0962,3,24
0.0618,3,25
-0.0139,3,26
0.1046,3,27
-0.0461,3,28
0.0674,3,29
0.0588,3,30
0.0385,3,31
0.0098,3,32
-0.0782,3,33
0.0056,3,34
0.0959,3,35
0.0405,3,36
0.0193,3,37
-0.0051,3,38
-0.0602,3,39
-0.0156,3,40
0.0035,3,41
-0.0386,3,42
-0.0288,3,43
0.0071,3,44
-0.0172,3,45
-0.0684,3,46
-0.01,3,47
0.0249,3,48
-0.0933,3,49
0.1642,3,50
0.1227,3,51
-0.028,3,52
-0.026,3,53
0.0101,3,54
0.006,3,55
-0.0211,3,56
0.0024,3,57
0.0157,4,0
0.0124,4,1
-0.0945,4,2
-0.0825,4,3
0.0159,4,4
-0.0037,4,5
0.0302,4,6
0.0021,4,7
0.0104,4,8
0.034,4,9
0.1406,4,10
-0.0253,4,11
0.0004,4,12
-0.031,4,13
0.0838,4,14
0.3171,4,15
0.0114,4,16
0.4069,4,17
-0.0037,4,18
0.0569,4,19
-0.0029,4,20
-0.0497,4,21
0.1443,4,22
0.0063,4,23
0.0295,4,24
0.0681,4,25
0.0406,4,26
0.1087,4,27
-0.0738,4,28
-0.018,4,29
-0.0363,4,30
-0.0333,4,31
-0.0544,4,32
0.1129,4,33
0.0396,4,34
0.0733,4,35
0.0012,4,36
-0.0166,4,37
-0.0297,4,38
0.2596,4,39
-0.0029,4,40
-0.0727,4,41
0.0119,4,42
-0.0869,4,43
0.0103,4,44
-0.0245,4,45
-0.0881,4,46
0.004,4,47
0.041,4,48
-0.1021,4,49
0.0772,4,50
-0.0148,4,51
-0.0052,4,52
0.0502,4,53
0.0104,4,54
0.0305,4,55
-0.1263,4,56
0.0589,4,57
